query,name,category,sub_category,sub_genre,productDescription,all_text,scores,scores_model_mxbai-rerank-xsmall-v1,scores_model_mxbai-rerank-large-v1,scores_model_mxbai-rerank-base-v1,scores_model_MiniLM,scores_model_jina-reranker-v1-turbo-en,scores_model_jina-reranker-v1-tiny-en,scores_model_bge-reranker-base
straps,Galaxy Watch Ultra Trail Band,Mobile,Mobile Accessories,Watch Straps,"Galaxy Watch Ultra Trail Band Orange ET-SVL70MOEG. Lightweight fabric and triangle latch for comfortable fit, Lugless design for effortless band switching.","Galaxy Watch Ultra Trail Band Mobile Mobile Accessories Watch Straps Galaxy Watch Ultra Trail Band Orange ET-SVL70MOEG. Lightweight fabric and triangle latch for comfortable fit, Lugless design for effortless band switching.",1.480077,0.5160353,0.5923899,0.90313125,1.480077,0.32537815,0.73742497,0.8342543
straps,Galaxy Watch7 Athleisure Band (M/L),Mobile,Mobile Accessories,Watch Straps,"Galaxy Watch7 Athleisure Band (M/L) Sky Blue - Soft and durable fashionable band, One-click button for simple and easy band swapping.","Galaxy Watch7 Athleisure Band (M/L) Mobile Mobile Accessories Watch Straps Galaxy Watch7 Athleisure Band (M/L) Sky Blue - Soft and durable fashionable band, One-click button for simple and easy band swapping.",2.2834206,0.40080744,0.62706494,0.7736401,2.2834206,0.28587064,0.7101147,0.76574713
straps,Galaxy Watch7 Athleisure Band (S/M),Mobile,Mobile Accessories,Watch Straps,"Galaxy Watch7 Athleisure Band (S/M) Pink  - Soft and durable fashionable band, One-click button for simple and easy band swapping.","Galaxy Watch7 Athleisure Band (S/M) Mobile Mobile Accessories Watch Straps Galaxy Watch7 Athleisure Band (S/M) Pink  - Soft and durable fashionable band, One-click button for simple and easy band swapping.",2.228127,0.4072926,0.5764781,0.7281686,2.228127,0.29334402,0.72158074,0.84720355
straps,Galaxy Watch7 Fabric Band (S/M),Mobile,Mobile Accessories,Watch Straps,"Galaxy Watch7 Fabric Band (S/M) Wine - Designed with a lightweight fabric and suitable for sleep, One-click button for simple and easy band swapping.","Galaxy Watch7 Fabric Band (S/M) Mobile Mobile Accessories Watch Straps Galaxy Watch7 Fabric Band (S/M) Wine - Designed with a lightweight fabric and suitable for sleep, One-click button for simple and easy band swapping.",1.4806511,0.36487913,0.5565625,0.5146114,1.4806511,0.27768055,0.75739235,0.7506786
straps,Galaxy Watch7 Sport Band (S/M),Mobile,Mobile Accessories,Watch Straps,"Galaxy Watch7 Sport Band (S/M) Green - Breathable design with colourful stitching points, One-click button for simple and easy band swapping.","Galaxy Watch7 Sport Band (S/M) Mobile Mobile Accessories Watch Straps Galaxy Watch7 Sport Band (S/M) Green - Breathable design with colourful stitching points, One-click button for simple and easy band swapping.",2.446159,0.49332854,0.62995267,0.7059691,2.446159,0.28667355,0.7590003,0.82156795
straps,Galaxy Watch7 Fabric Band (M/L),Mobile,Mobile Accessories,Watch Straps,"Galaxy Watch7 Fabric Band (M/L) Blue White - Designed with a lightweight fabric and suitable for sleep, One-click button for simple and easy band swapping.","Galaxy Watch7 Fabric Band (M/L) Mobile Mobile Accessories Watch Straps Galaxy Watch7 Fabric Band (M/L) Blue White - Designed with a lightweight fabric and suitable for sleep, One-click button for simple and easy band swapping.",1.9763489,0.40996048,0.5902951,0.5394727,1.9763489,0.2746,0.76469105,0.7917108
straps,Galaxy Watch7 Sport Band (M/L),Mobile,Mobile Accessories,Watch Straps,"Galaxy Watch7 Sport Band (M/L) Cream - Breathable design with colourful stitching point, One-click button for simple and easy band swapping.","Galaxy Watch7 Sport Band (M/L) Mobile Mobile Accessories Watch Straps Galaxy Watch7 Sport Band (M/L) Cream - Breathable design with colourful stitching point, One-click button for simple and easy band swapping.",2.5514226,0.45211935,0.6703945,0.71942616,2.5514226,0.27369046,0.7373081,0.7795929
straps,Galaxy Watch Ultra PeakForm Band,Mobile,Mobile Accessories,Watch Straps,"Galaxy Watch Ultra PeakForm Band Dark Gray ET-SBL70MBEG. Durable and stylish hybrid band, Lugless design for effortless band switching.","Galaxy Watch Ultra PeakForm Band Mobile Mobile Accessories Watch Straps Galaxy Watch Ultra PeakForm Band Dark Gray ET-SBL70MBEG. Durable and stylish hybrid band, Lugless design for effortless band switching.",1.7827926,0.47917542,0.7359022,0.84946,1.7827926,0.31253865,0.76589024,0.75795877
straps,Galaxy Watch Ultra Marine Band,Mobile,Mobile Accessories,Watch Straps,"Galaxy Watch Ultra Marine Band Green ET-SNL70MKEG. Light and durable titanium buckle for water activities, Lugless design for effortless band switching.","Galaxy Watch Ultra Marine Band Mobile Mobile Accessories Watch Straps Galaxy Watch Ultra Marine Band Green ET-SNL70MKEG. Light and durable titanium buckle for water activities, Lugless design for effortless band switching.",2.4482627,0.5210551,0.60605186,0.84122753,2.4482627,0.33780164,0.797538,0.7549445
straps,Galaxy A54 5G Haze Grip Case Strap Case,Mobile,Mobile Accessories,Cases,"Galaxy A54 5G Haze Grip Case Strap Case Black (EF-XA546CBEG )- Carry with confidence, Perfect grip with detachable straps.","Galaxy A54 5G Haze Grip Case Strap Case Mobile Mobile Accessories Cases Galaxy A54 5G Haze Grip Case Strap Case Black (EF-XA546CBEG )- Carry with confidence, Perfect grip with detachable straps.",0.8131393,0.5364625,0.17793564,0.22612295,0.8131393,0.3096106,0.621162,0.68748105
straps,Galaxy Fit3 Sport Band,Mobile,Mobile Accessories,Watch Straps,"Galaxy Fit3 Sport Band (ET-SFR39MGEGIN) - Explore the benefits, features & offers of this product. Know more and buy best Mobile Accessories for you at Samsung India.","Galaxy Fit3 Sport Band Mobile Mobile Accessories Watch Straps Galaxy Fit3 Sport Band (ET-SFR39MGEGIN) - Explore the benefits, features & offers of this product. Know more and buy best Mobile Accessories for you at Samsung India.",1.1351418,0.37250134,0.16558032,0.3625556,1.1351418,0.27699384,0.773347,0.642122
straps,Galaxy S24 Smart View Wallet Case,Mobile,Mobile Accessories,Cases,"Galaxy S24 Smart View Wallet Case Violet Interactive small-screen view cover, Seamless control at a tap, Handy hidden pocket.","Galaxy S24 Smart View Wallet Case Mobile Mobile Accessories Cases Galaxy S24 Smart View Wallet Case Violet Interactive small-screen view cover, Seamless control at a tap, Handy hidden pocket.",-10.943682,0.15408817,0.014184296,0.034851033,-10.943682,0.026506212,0.21205056,4.985312e-05
straps,Galaxy Z Fold5 Standing Case with Strap,Mobile,Mobile Accessories,Cases,Galaxy Z Fold5 Standing Case with Strap Graphite The case comes with a strap that keeps your phone firm in your hand.,Galaxy Z Fold5 Standing Case with Strap Mobile Mobile Accessories Cases Galaxy Z Fold5 Standing Case with Strap Graphite The case comes with a strap that keeps your phone firm in your hand.,1.0168376,0.554558,0.13498966,0.1854295,1.0168376,0.25922292,0.6031622,0.32611173
straps,Galaxy S21 FE 5G Slim Strap Cover,Mobile,Mobile Accessories,Cases,"Galaxy S21 FE 5G Slim Strap Black Cover (EF-XG990CBEGIN) - Explore the benefits, features & offers of this product. Know more & buy accessories for you at Samsung India.","Galaxy S21 FE 5G Slim Strap Cover Mobile Mobile Accessories Cases Galaxy S21 FE 5G Slim Strap Black Cover (EF-XG990CBEGIN) - Explore the benefits, features & offers of this product. Know more & buy accessories for you at Samsung India.",1.301117,0.31353137,0.03973556,0.092889614,1.301117,0.24335285,0.65060186,0.33295974
straps,Galaxy S21 FE 5G Silicone Cover with Strap,Mobile,Mobile Accessories,Cases,S21 FE 5G Silicone Cover with Navy Strap (EF-GG990TNEGIN) - Explore the specification & offers of this product. Know more about Samsung mobile cover online.,Galaxy S21 FE 5G Silicone Cover with Strap Mobile Mobile Accessories Cases S21 FE 5G Silicone Cover with Navy Strap (EF-GG990TNEGIN) - Explore the specification & offers of this product. Know more about Samsung mobile cover online.,1.0268344,0.35883397,0.0566826,0.10147894,1.0268344,0.26947537,0.6455315,0.3691696
straps,Galaxy Z Flip3 5G Silicone Cover with Strap,Mobile,Mobile Accessories,Cases,"Galaxy Z Flip3 5G Silicone Cover with Strap (EF-GF711TNEGIN) - Explore the benefits, features & offers of this product and buy best mobile covers here.","Galaxy Z Flip3 5G Silicone Cover with Strap Mobile Mobile Accessories Cases Galaxy Z Flip3 5G Silicone Cover with Strap (EF-GF711TNEGIN) - Explore the benefits, features & offers of this product and buy best mobile covers here.",1.1013384,0.3713302,0.06717789,0.0922452,1.1013384,0.26754472,0.6394223,0.5366696
straps,Galaxy S22 Silicone Cover with Strap,Mobile,Mobile Accessories,Cases,"Galaxy S22 Silicone Cover with Strap (EF-GS901TNEGIN) - Explore the benefits, features & offers of this product. Know more and buy best Mobile Accessories here.","Galaxy S22 Silicone Cover with Strap Mobile Mobile Accessories Cases Galaxy S22 Silicone Cover with Strap (EF-GS901TNEGIN) - Explore the benefits, features & offers of this product. Know more and buy best Mobile Accessories here.",1.8379664,0.4091003,0.06462531,0.086818546,1.8379664,0.2794256,0.6793086,0.6065256
straps,Galaxy S22+ Silicone Cover with Strap,Mobile,Mobile Accessories,Cases,"Galaxy S22+ Silicone Cover with Strap (EF-GS906TNEGIN) - Explore the benefits, features & offers of this product. Know more and buy best Mobile Accessories here.","Galaxy S22+ Silicone Cover with Strap Mobile Mobile Accessories Cases Galaxy S22+ Silicone Cover with Strap (EF-GS906TNEGIN) - Explore the benefits, features & offers of this product. Know more and buy best Mobile Accessories here.",1.7562859,0.40544322,0.06426004,0.08717009,1.7562859,0.29014134,0.68041736,0.5999747
straps,Galaxy A53 5G Silicone Cover with Strap,Mobile,Mobile Accessories,Cases,"Galaxy A53 5G Silicone Cover with Strap (EF-GA536TNEGIN) - Explore the benefits, features & offers of this product. Know more and buy best Mobile Accessories here.","Galaxy A53 5G Silicone Cover with Strap Mobile Mobile Accessories Cases Galaxy A53 5G Silicone Cover with Strap (EF-GA536TNEGIN) - Explore the benefits, features & offers of this product. Know more and buy best Mobile Accessories here.",1.9963517,0.39377084,0.05587255,0.106317595,1.9963517,0.3186307,0.69651085,0.70453936
straps,Galaxy A33 5G Slim Strap Cover,Mobile,Mobile Accessories,Cases,Buy Galaxy A33 5G Slim Strap Cover(EF-XA336CBEG) online. Get your new Galaxy A33 5G mobile Cover with best price & offers at Samsung India.,Galaxy A33 5G Slim Strap Cover Mobile Mobile Accessories Cases Buy Galaxy A33 5G Slim Strap Cover(EF-XA336CBEG) online. Get your new Galaxy A33 5G mobile Cover with best price & offers at Samsung India.,1.4225707,0.27484864,0.029191654,0.07349667,1.4225707,0.2554513,0.614394,0.31475613
straps,Galaxy Watch Ultra Trail Band,Mobile,Mobile Accessories,Watch Straps,"Galaxy Watch Ultra Trail Band Orange ET-SVL70MOEG. Lightweight fabric and triangle latch for comfortable fit, Lugless design for effortless band switching.","Galaxy Watch Ultra Trail Band Mobile Mobile Accessories Watch Straps Galaxy Watch Ultra Trail Band Orange ET-SVL70MOEG. Lightweight fabric and triangle latch for comfortable fit, Lugless design for effortless band switching.",1.480077,0.5160353,0.5923899,0.90313125,1.480077,0.32537815,0.73742497,0.8342543
straps,Galaxy Watch7 Athleisure Band (M/L),Mobile,Mobile Accessories,Watch Straps,"Galaxy Watch7 Athleisure Band (M/L) Sky Blue - Soft and durable fashionable band, One-click button for simple and easy band swapping.","Galaxy Watch7 Athleisure Band (M/L) Mobile Mobile Accessories Watch Straps Galaxy Watch7 Athleisure Band (M/L) Sky Blue - Soft and durable fashionable band, One-click button for simple and easy band swapping.",2.2834206,0.40080738,0.627065,0.77364016,2.2834206,0.28587064,0.7101147,0.76574713
straps,Galaxy Watch7 Athleisure Band (S/M),Mobile,Mobile Accessories,Watch Straps,"Galaxy Watch7 Athleisure Band (S/M) Pink  - Soft and durable fashionable band, One-click button for simple and easy band swapping.","Galaxy Watch7 Athleisure Band (S/M) Mobile Mobile Accessories Watch Straps Galaxy Watch7 Athleisure Band (S/M) Pink  - Soft and durable fashionable band, One-click button for simple and easy band swapping.",2.228127,0.4072925,0.57647806,0.72816867,2.228127,0.29334402,0.72158074,0.84720355
straps,Galaxy Watch7 Fabric Band (S/M),Mobile,Mobile Accessories,Watch Straps,"Galaxy Watch7 Fabric Band (S/M) Wine - Designed with a lightweight fabric and suitable for sleep, One-click button for simple and easy band swapping.","Galaxy Watch7 Fabric Band (S/M) Mobile Mobile Accessories Watch Straps Galaxy Watch7 Fabric Band (S/M) Wine - Designed with a lightweight fabric and suitable for sleep, One-click button for simple and easy band swapping.",1.4806511,0.3648794,0.5565623,0.5146112,1.4806511,0.27768055,0.75739235,0.7506786
straps,Galaxy Watch7 Sport Band (S/M),Mobile,Mobile Accessories,Watch Straps,"Galaxy Watch7 Sport Band (S/M) Green - Breathable design with colourful stitching points, One-click button for simple and easy band swapping.","Galaxy Watch7 Sport Band (S/M) Mobile Mobile Accessories Watch Straps Galaxy Watch7 Sport Band (S/M) Green - Breathable design with colourful stitching points, One-click button for simple and easy band swapping.",2.446159,0.49332854,0.6299525,0.7059689,2.446159,0.28667355,0.7590003,0.82156795
straps,Galaxy Watch7 Fabric Band (M/L),Mobile,Mobile Accessories,Watch Straps,"Galaxy Watch7 Fabric Band (M/L) Blue White - Designed with a lightweight fabric and suitable for sleep, One-click button for simple and easy band swapping.","Galaxy Watch7 Fabric Band (M/L) Mobile Mobile Accessories Watch Straps Galaxy Watch7 Fabric Band (M/L) Blue White - Designed with a lightweight fabric and suitable for sleep, One-click button for simple and easy band swapping.",1.9763489,0.40996048,0.5902952,0.53947276,1.9763489,0.2746,0.76469105,0.7917108
straps,Galaxy Watch7 Sport Band (M/L),Mobile,Mobile Accessories,Watch Straps,"Galaxy Watch7 Sport Band (M/L) Cream - Breathable design with colourful stitching point, One-click button for simple and easy band swapping.","Galaxy Watch7 Sport Band (M/L) Mobile Mobile Accessories Watch Straps Galaxy Watch7 Sport Band (M/L) Cream - Breathable design with colourful stitching point, One-click button for simple and easy band swapping.",2.5514226,0.4521193,0.6703946,0.71942616,2.5514226,0.27369046,0.7373081,0.7795929
straps,Galaxy Watch Ultra PeakForm Band,Mobile,Mobile Accessories,Watch Straps,"Galaxy Watch Ultra PeakForm Band Dark Gray ET-SBL70MBEG. Durable and stylish hybrid band, Lugless design for effortless band switching.","Galaxy Watch Ultra PeakForm Band Mobile Mobile Accessories Watch Straps Galaxy Watch Ultra PeakForm Band Dark Gray ET-SBL70MBEG. Durable and stylish hybrid band, Lugless design for effortless band switching.",1.7827926,0.47917542,0.7359022,0.84946,1.7827926,0.31253865,0.76589024,0.75795877
straps,Galaxy Watch Ultra Marine Band,Mobile,Mobile Accessories,Watch Straps,"Galaxy Watch Ultra Marine Band Green ET-SNL70MKEG. Light and durable titanium buckle for water activities, Lugless design for effortless band switching.","Galaxy Watch Ultra Marine Band Mobile Mobile Accessories Watch Straps Galaxy Watch Ultra Marine Band Green ET-SNL70MKEG. Light and durable titanium buckle for water activities, Lugless design for effortless band switching.",2.4482627,0.5210551,0.60605186,0.84122753,2.4482627,0.33780164,0.797538,0.7549445
straps,Galaxy A54 5G Haze Grip Case Strap Case,Mobile,Mobile Accessories,Cases,"Galaxy A54 5G Haze Grip Case Strap Case Black (EF-XA546CBEG )- Carry with confidence, Perfect grip with detachable straps.","Galaxy A54 5G Haze Grip Case Strap Case Mobile Mobile Accessories Cases Galaxy A54 5G Haze Grip Case Strap Case Black (EF-XA546CBEG )- Carry with confidence, Perfect grip with detachable straps.",0.8131393,0.5364625,0.17793564,0.22612295,0.8131393,0.3096106,0.621162,0.68748105
straps,Galaxy Fit3 Sport Band,Mobile,Mobile Accessories,Watch Straps,"Galaxy Fit3 Sport Band (ET-SFR39MGEGIN) - Explore the benefits, features & offers of this product. Know more and buy best Mobile Accessories for you at Samsung India.","Galaxy Fit3 Sport Band Mobile Mobile Accessories Watch Straps Galaxy Fit3 Sport Band (ET-SFR39MGEGIN) - Explore the benefits, features & offers of this product. Know more and buy best Mobile Accessories for you at Samsung India.",1.1351418,0.37250143,0.16558023,0.3625556,1.1351418,0.27699384,0.77334696,0.642122
straps,Galaxy S24 Smart View Wallet Case,Mobile,Mobile Accessories,Cases,"Galaxy S24 Smart View Wallet Case Violet Interactive small-screen view cover, Seamless control at a tap, Handy hidden pocket.","Galaxy S24 Smart View Wallet Case Mobile Mobile Accessories Cases Galaxy S24 Smart View Wallet Case Violet Interactive small-screen view cover, Seamless control at a tap, Handy hidden pocket.",-10.943682,0.15408815,0.01418429,0.034851033,-10.943682,0.026506212,0.21205057,4.9853163e-05
straps,Galaxy Z Fold5 Standing Case with Strap,Mobile,Mobile Accessories,Cases,Galaxy Z Fold5 Standing Case with Strap Graphite The case comes with a strap that keeps your phone firm in your hand.,Galaxy Z Fold5 Standing Case with Strap Mobile Mobile Accessories Cases Galaxy Z Fold5 Standing Case with Strap Graphite The case comes with a strap that keeps your phone firm in your hand.,1.0168376,0.554558,0.13498966,0.1854295,1.0168376,0.25922292,0.6031622,0.32611173
straps,Galaxy S21 FE 5G Slim Strap Cover,Mobile,Mobile Accessories,Cases,"Galaxy S21 FE 5G Slim Strap Black Cover (EF-XG990CBEGIN) - Explore the benefits, features & offers of this product. Know more & buy accessories for you at Samsung India.","Galaxy S21 FE 5G Slim Strap Cover Mobile Mobile Accessories Cases Galaxy S21 FE 5G Slim Strap Black Cover (EF-XG990CBEGIN) - Explore the benefits, features & offers of this product. Know more & buy accessories for you at Samsung India.",1.301117,0.31353137,0.03973556,0.092889614,1.301117,0.24335285,0.65060186,0.33295974
